"CAUSABAS","capitulo_cid10","causabas_categoria"
"C14"," II - Neoplasias [tumores]","Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
"C15"," II - Neoplasias [tumores]","Neoplasia maligna do esôfago"
"C16"," II - Neoplasias [tumores]","Neoplasia maligna do estômago"
"C17"," II - Neoplasias [tumores]","Neoplasia maligna do intestino delgado"
"C18"," II - Neoplasias [tumores]","Neoplasia maligna do cólon"
"C19"," II - Neoplasias [tumores]","Neoplasia maligna da junção retossigmóide"
"C20"," II - Neoplasias [tumores]","Neoplasia maligna do reto"
"C21"," II - Neoplasias [tumores]","Neoplasia maligna do ânus e do canal anal"
"C22"," II - Neoplasias [tumores]","Neoplasia maligna do fígado e das vias biliares intra-hepáticas"
"C23"," II - Neoplasias [tumores]","Neoplasia maligna da vesícula biliar"
"C24"," II - Neoplasias [tumores]","Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares"
"C25"," II - Neoplasias [tumores]","Neoplasia maligna do pâncreas"
"C26"," II - Neoplasias [tumores]","Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo"
"C30"," II - Neoplasias [tumores]","Neoplasia maligna da cavidade nasal e do ouvido médio"
"C31"," II - Neoplasias [tumores]","Neoplasia maligna dos seios da face"
"C32"," II - Neoplasias [tumores]","Neoplasia maligna da laringe"
"C33"," II - Neoplasias [tumores]","Neoplasia maligna da traquéia"
"C34"," II - Neoplasias [tumores]","Neoplasia maligna dos brônquios e dos pulmões"
"C37"," II - Neoplasias [tumores]","Neoplasia maligna do timo"
"C38"," II - Neoplasias [tumores]","Neoplasia maligna do coração, mediastino e pleura"
"C39"," II - Neoplasias [tumores]","Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos"
"C40"," II - Neoplasias [tumores]","Neoplasia maligna dos ossos e cartilagens articulares dos membros"
"C41"," II - Neoplasias [tumores]","Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas"
"C43"," II - Neoplasias [tumores]","Melanoma maligno da pele"
"C44"," II - Neoplasias [tumores]","Outras neoplasias malignas da pele"
"C45"," II - Neoplasias [tumores]","Mesotelioma"
"C46"," II - Neoplasias [tumores]","Sarcoma de Kaposi"
"C47"," II - Neoplasias [tumores]","Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo"
"C48"," II - Neoplasias [tumores]","Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio"
"C49"," II - Neoplasias [tumores]","Neoplasia maligna do tecido conjuntivo e de outros tecidos moles"
"C50"," II - Neoplasias [tumores]","Neoplasia maligna da mama"
"C51"," II - Neoplasias [tumores]","Neoplasia maligna da vulva"
"C52"," II - Neoplasias [tumores]","Neoplasia maligna da vagina"
"C53"," II - Neoplasias [tumores]","Neoplasia maligna do colo do útero"
"C54"," II - Neoplasias [tumores]","Neoplasia maligna do corpo do útero"
"C55"," II - Neoplasias [tumores]","Neoplasia maligna do útero, porção não especificada"
"C56"," II - Neoplasias [tumores]","Neoplasia maligna do ovário"
"C57"," II - Neoplasias [tumores]","Neoplasia maligna de outros órgãos genitais femininos e dos não especificados"
"C58"," II - Neoplasias [tumores]","Neoplasia maligna da placenta"
"C60"," II - Neoplasias [tumores]","Neoplasia maligna do pênis"
"C61"," II - Neoplasias [tumores]","Neoplasia maligna da próstata"
"C62"," II - Neoplasias [tumores]","Neoplasia maligna dos testículos"
"C63"," II - Neoplasias [tumores]","Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados"
"C64"," II - Neoplasias [tumores]","Neoplasia maligna do rim, exceto pelve renal"
"C65"," II - Neoplasias [tumores]","Neoplasia maligna da pelve renal"
"C66"," II - Neoplasias [tumores]","Neoplasia maligna dos ureteres"
"C67"," II - Neoplasias [tumores]","Neoplasia maligna da bexiga"
"C68"," II - Neoplasias [tumores]","Neoplasia maligna de outros órgãos urinários e dos não especificados"
"C69"," II - Neoplasias [tumores]","Neoplasia maligna do olho e anexos"
"C70"," II - Neoplasias [tumores]","Neoplasia maligna das meninges"
"C71"," II - Neoplasias [tumores]","Neoplasia maligna do encéfalo"
"C72"," II - Neoplasias [tumores]","Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
"C73"," II - Neoplasias [tumores]","Neoplasia maligna da glândula tireóide"
"C74"," II - Neoplasias [tumores]","Neoplasia maligna da glândula supra-renal [Glândula adrenal]"
"C75"," II - Neoplasias [tumores]","Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas"
"C76"," II - Neoplasias [tumores]","Neoplasia maligna de outras localizações e de localizações mal definidas"
"C77"," II - Neoplasias [tumores]","Neoplasia maligna secundária e não especificada dos gânglios linfáticos"
"C78"," II - Neoplasias [tumores]","Neoplasia maligna secundária dos órgãos respiratórios e digestivos"
"C79"," II - Neoplasias [tumores]","Neoplasia maligna secundária de outras localizações"
"C80"," II - Neoplasias [tumores]","Neoplasia maligna, sem especificação de localização"
"C81"," II - Neoplasias [tumores]","Doença de Hodgkin"
"C82"," II - Neoplasias [tumores]","Linfoma não-Hodgkin, folicular (nodular)"
"C83"," II - Neoplasias [tumores]","Linfoma não-Hodgkin difuso"
"C84"," II - Neoplasias [tumores]","Linfomas de células T cutâneas e periféricas"
"C85"," II - Neoplasias [tumores]","Linfoma não-Hodgkin de outros tipos e de tipo não especificado"
"C88"," II - Neoplasias [tumores]","Doenças imunoproliferativas malignas"
"C90"," II - Neoplasias [tumores]","Mieloma múltiplo e neoplasias malignas de plasmócitos"
"C91"," II - Neoplasias [tumores]","Leucemia linfóide"
"C92"," II - Neoplasias [tumores]","Leucemia mielóide"
"C93"," II - Neoplasias [tumores]","Leucemia monocítica"
"C94"," II - Neoplasias [tumores]","Outras leucemias de células de tipo especificado"
"C95"," II - Neoplasias [tumores]","Leucemia de tipo celular não especificado"
"C96"," II - Neoplasias [tumores]","Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
"C97"," II - Neoplasias [tumores]","Neoplasias malignas de localizações múltiplas independentes (primárias)"
"D00"," II - Neoplasias [tumores]","Carcinoma in situ da cavidade oral, do esôfago e do estômago"
"D01"," II - Neoplasias [tumores]","Carcinoma in situ de outros órgãos digestivos"
"D02"," II - Neoplasias [tumores]","Carcinoma in situ do ouvido médio e do aparelho respiratório"
"D03"," II - Neoplasias [tumores]","Melanoma in situ"
"D04"," II - Neoplasias [tumores]","Carcinoma in situ da pele"
"D05"," II - Neoplasias [tumores]","Carcinoma in situ da mama"
"D06"," II - Neoplasias [tumores]","Carcinoma in situ do colo do útero (cérvix)"
"D07"," II - Neoplasias [tumores]","Carcinoma in situ de outros órgãos genitais e dos não especificados"
"D09"," II - Neoplasias [tumores]","Carcinoma in situ de outras localizações e das não especificadas"
"D10"," II - Neoplasias [tumores]","Neoplasia benigna da boca e da faringe"
"D11"," II - Neoplasias [tumores]","Neoplasia benigna de glândulas salivares maiores"
"D12"," II - Neoplasias [tumores]","Neoplasia benigna do cólon, reto, canal anal e ânus"
"D13"," II - Neoplasias [tumores]","Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo"
"D14"," II - Neoplasias [tumores]","Neoplasia benigna do ouvido médio e do aparelho respiratório"
"D15"," II - Neoplasias [tumores]","Neoplasia benigna de outros órgãos intratorácicos e dos não especificados"
"D16"," II - Neoplasias [tumores]","Neoplasia benigna de osso e de cartilagem articular"
"D17"," II - Neoplasias [tumores]","Neoplasia lipomatosa benigna"
"D18"," II - Neoplasias [tumores]","Hemangioma e linfangioma de qualquer localização"
"D19"," II - Neoplasias [tumores]","Neoplasia benigna de tecido mesotelial"
"D20"," II - Neoplasias [tumores]","Neoplasia benigna de tecido mole do retroperitônio e do peritônio"
"D21"," II - Neoplasias [tumores]","Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles"
"D22"," II - Neoplasias [tumores]","Nevos melanocíticos"
"D23"," II - Neoplasias [tumores]","Outras neoplasias benignas da pele"
"D24"," II - Neoplasias [tumores]","Neoplasia benigna da mama"
"D25"," II - Neoplasias [tumores]","Leiomioma do útero"
"D26"," II - Neoplasias [tumores]","Outras neoplasias benignas do útero"
"D27"," II - Neoplasias [tumores]","Neoplasia benigna do ovário"
"D28"," II - Neoplasias [tumores]","Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados"
"D29"," II - Neoplasias [tumores]","Neoplasia benigna dos órgãos genitais masculinos"
"D30"," II - Neoplasias [tumores]","Neoplasia benigna dos órgãos urinários"
"D31"," II - Neoplasias [tumores]","Neoplasia benigna do olho e anexos"
"D32"," II - Neoplasias [tumores]","Neoplasia benigna das meninges"
"D33"," II - Neoplasias [tumores]","Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central"
"D34"," II - Neoplasias [tumores]","Neoplasia benigna da glândula tireóide"
"D35"," II - Neoplasias [tumores]","Neoplasia benigna de outras glândulas endócrinas e das não especificadas"
"D36"," II - Neoplasias [tumores]","Neoplasia benigna de outras localizações e de localizações não especificadas"
"D37"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos"
"D38"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos"
"D39"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos"
"D40"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos"
"D41"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários"
"D42"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido das meninges"
"D43"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central"
"D44"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas"
"D45"," II - Neoplasias [tumores]","Policitemia vera"
"D46"," II - Neoplasias [tumores]","Síndromes mielodisplásicas"
"D47"," II - Neoplasias [tumores]","Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
"D48"," II - Neoplasias [tumores]","Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas"
"D50"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia por deficiência de ferro"
"D51"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia por deficiência de vitamina B12"
"D52"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia por deficiência de folato"
"D53"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Outras anemias nutricionais"
"D55"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia devida a transtornos enzimáticos"
"D56"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Talassemia"
"D57"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Transtornos falciformes"
"D58"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Outras anemias hemolíticas hereditárias"
"D59"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia hemolítica adquirida"
"D60"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Aplasia pura da série vermelha, adquirida [eritroblastopenia]"
"D61"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Outras anemias aplásticas"
"D62"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia aguda pós-hemorrágica"
"D63"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Anemia em doenças crônicas classificadas em outra parte"
"D64"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Outras anemias"
"D65"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Coagulação intravascular disseminada [síndrome de desfibrinação]"
"D66"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Deficiência hereditária do fator VIII"
"D67"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Deficiência hereditária do fator IX"
"D68"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Outros defeitos da coagulação"
"D69"," III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários","Púrpura e outras afecções hemorrágicas"
